Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
20181087737,2018-41425,12/26/2018,12-December,4-Wednesday,02:00,0200 Hours,District 6 (East Central),,SCOTT,77,Y04E/BIG ROCK RD,Collision with:  Struck/struck by object/cargo/person from other vehicle,Shoulder,Non-collision (single vehicle),Driving too fast for conditions,Refused,None apparent,Dark - roadway not lighted,Dry,"Fog, smoke, smog",None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5200,1,1,Northbound (NB),POINT (-90.825185314367 41.767892302204)
20181088295,18-17478,12/26/2018,12-December,4-Wednesday,16:37,1600 Hours,District 3 (Northwest),,DICKINSON,US 71,US 71,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Daylight,Slush,Freezing rain/drizzle,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2600,1,1,Northbound (NB),POINT (-95.020672099941 43.430518227024)
20181087940,18-056187,12/27/2018,12-December,5-Thursday,17:41,1700 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,77,1500 BLOCK MADISON AVE,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,1,1,Northbound (NB),POINT (-95.830730584375 41.248821741845)
20181088256,W18-103796,12/28/2018,12-December,6-Friday,16:36,1600 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,77,HAMMOND AVE AND E SHAULIS RD,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),Lost Control,None Indicated,Weather conditions,Dark - roadway lighted,Snow,Freezing rain/drizzle,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,2,5,Northbound (NB),POINT (-92.337092759331 42.44309224358)
20181088471,18-03406,12/28/2018,12-December,6-Friday,07:40,0700 Hours,District 1 (Central),URBANDALE,POLK,77,111TH ST AND FRONTAGE RD,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,None apparent,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)","Non-intersection:  Driveway access (related, not in)",Paved,N/A,Property Damage Only,0,0,0,0,0,0,8000,2,2,Southbound (SB),POINT (-93.771028116585 41.627496409376)
20181090309,18-03441,12/28/2018,12-December,6-Friday,05:45,0500 Hours,District 1 (Central),URBANDALE,POLK,77,4600 NW URBANDALE DR,Collision with fixed object:  Fire hydrant,Outside trafficway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Dark - roadway not lighted,Ice/frost,"Fog, smoke, smog","Surface condition (e.g., wet, icy)",Interchange-related:  Off-ramp,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2750,1,1,Northbound (NB),POINT (-93.765819686364 41.644878986707)
20181088480,18-03421,12/28/2018,12-December,6-Friday,17:50,1700 Hours,District 1 (Central),URBANDALE,POLK,77,5100 BLOCK OF NW 86TH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,None apparent,Dusk,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,8000,2,4,Eastbound (EB),POINT (-93.736450485367 41.655645280668)
20181088882,2018-010686,12/29/2018,12-December,7-Saturday,19:48,1900 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,77,200 BLOCK OF W 4TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Other (explain in narrative),None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Alley,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4750,3,2,Southbound (SB),POINT (-90.665856526806 42.497468196656)
20181088836,18-31556,12/30/2018,12-December,1-Sunday,18:50,1800 Hours,District 6 (East Central),BETTENDORF,SCOTT,77,MIDDLE RD,Collision with fixed object:  Tree,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,6000,1,1,Southbound (SB),POINT (-90.469367748029 41.55903506474)
20181088892,2018-010732,12/31/2018,12-December,2-Monday,23:00,2300 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,77,KEY WAY AND PENNSYLVANIA AVE,Collision with fixed object:  Utility pole/light support,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,Weather conditions,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,1500,1,2,Southbound (SB),POINT (-90.725814177101 42.50047530992)
20181089389,2018033477,12/31/2018,12-December,2-Monday,11:55,1100 Hours,District 4 (Southwest),,DALLAS,I-80,INTERSTATE 80/I 80 EB MM 110,Non-collision events:  Overturn/rollover,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,Weather conditions,Daylight,Slush,Freezing rain/drizzle,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,2,0,1,1,0,30000,1,2,Westbound (WB),POINT (-94.020061058637 41.539438851492)
20191088895,0030,01/01/2019,01-January,3-Tuesday,17:52,1700 Hours,District 3 (Northwest),,SAC,77,M054/ROLF AVE,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,1,1,Northbound (NB),POINT (-95.002711724936 42.388976318026)
20191090159,19000058,01/02/2019,01-January,4-Wednesday,16:34,1600 Hours,District 6 (East Central),,BUCHANAN,77,210TH ST AND CARTER AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,Weather conditions,Daylight,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,13000,2,2,Northbound (NB),POINT (-92.042052590121 42.482586066976)
20191089785,4519-001,01/03/2019,01-January,5-Thursday,17:32,1700 Hours,District 2 (Northeast),,HOWARD,77,V026/JAMES AVE,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,Northbound (NB),POINT (-92.365879410053 43.448102181923)
20191089609,19-000037,01/03/2019,01-January,5-Thursday,18:50,1800 Hours,District 1 (Central),AMES,STORY,US 30,US 30,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Improper or erratic lane changing,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,2,2,Southbound (SB),POINT (-93.618447955834 42.004357459096)
20191089509,2019000137,01/04/2019,01-January,6-Friday,14:27,1400 Hours,District 6 (East Central),IOWA CITY,JOHNSON,US 6,US 6,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,"Blowing sand, soil, dirt",None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,2,2,Southbound (SB),POINT (-91.55910977735 41.666310757067)
20191089590,201900070,01/05/2019,01-January,7-Saturday,06:49,0600 Hours,District 6 (East Central),,LINN,US 151,US 151 / HESS LN,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,7000,1,1,Eastbound (EB),POINT (-91.549323072504 41.950536347691)
20191091048,SO19-00015,01/05/2019,01-January,7-Saturday,18:40,1800 Hours,District 1 (Central),,MARSHALL,US 30,3200 MILE 240TH ST (HWY 30),Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5000,1,2,Southbound (SB),POINT (-92.802264572739 42.007726511855)
20191089716,19-000137,01/06/2019,01-January,1-Sunday,17:58,1700 Hours,District 5 (Southeast),,MONROE,US 34,US 34,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2700,1,1,Southbound (SB),POINT (-92.738932743338 41.015567282198)
20191089821,19-00648,01/07/2019,01-January,2-Monday,11:53,1100 Hours,District 5 (Southeast),BURLINGTON,DES MOINES,77,JEFFERSON ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Improper Backing,None Indicated,None apparent,Daylight,Wet,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,2,Southbound (SB),POINT (-91.106409173521 40.810677146508)
20191090393,19-874,01/08/2019,01-January,3-Tuesday,19:11,1900 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,IA-812,STATE 12/GORDON DR AND VIRGINIA ST,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",FTYROW:  Making left turn,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,6000,2,3,Southbound (SB),POINT (-96.397798397479 42.489775754057)
20191090278,2019-2238,01/08/2019,01-January,3-Tuesday,17:35,1700 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,VETERANS MEMORIAL PKWY,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,Northbound (NB),POINT (-90.528126612747 41.589440455688)
20191102470,19-000308,01/09/2019,01-January,4-Wednesday,13:20,1300 Hours,District 3 (Northwest),,PALO ALTO,IA-4,4400 BLOCK 460 AVE,Collision with fixed object:  Embankment,On Roadway,Non-collision (single vehicle),Ran off road - left,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,8000,1,1,Northbound (NB),POINT (-94.678599545273 43.000127121408)
20191090389,19-1033,01/10/2019,01-January,5-Thursday,07:31,0700 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,ISABELLA ST AND W VILLA AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Failure to signal intentions,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,11828,2,4,Northbound (NB),POINT (-96.423997895691 42.504122632495)
20191091072,2019-000122,01/11/2019,01-January,6-Friday,12:03,1200 Hours,District 6 (East Central),SAGEVILLE,DUBUQUE,77,STATE 32/IA 32,Miscellaneous events:  Hit and run,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5000,2,2,Northbound (NB),POINT (-90.693663769526 42.541445550824)
20191091913,2019000939,01/11/2019,01-January,6-Friday,00:11,0000 Hours,District 1 (Central),,TAMA,77,NORTHWOOD DR,Non-collision events:  Overturn/rollover,Outside trafficway,Non-collision (single vehicle),Driving too fast for conditions,Drug/Alcohol (Statutory),None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Fatal,1,0,0,0,0,0,18000,1,1,Northbound (NB),POINT (-92.664514829269 42.007127373813)
20191095510,18-000332,01/12/2019,01-January,7-Saturday,19:00,1900 Hours,District 4 (Southwest),,HARRISON,77,270TH ST MEASURING 1360 FEET WEST FROM 270TH ST AND PAXTON LN,Collision with:  Animal,Unknown,N/A,Animal,None Indicated,N/A,N/A,N/A,N/A,N/A,N/A,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,2000,1,1,Southbound (SB),POINT (-95.765965042881 41.616950930317)
20191090797,19000172,01/12/2019,01-January,7-Saturday,18:34,1800 Hours,District 5 (Southeast),,KEOKUK,IA-22,STATE 22/IOWA 22,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3500,1,1,Southbound (SB),POINT (-92.345088799321 41.452231612251)
20191091278,19-000202,01/12/2019,01-January,7-Saturday,02:58,0200 Hours,District 4 (Southwest),CARTER LAKE,POTTAWATTAMIE,IA-165,STATE 165/ABBOTT DR,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,Weather conditions,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,3000,1,1,Westbound (WB),POINT (-95.918261869602 41.274266025662)
20191091057,19-000070,01/12/2019,01-January,7-Saturday,12:59,1200 Hours,District 1 (Central),,STORY,77,EAST OF 520TH AVENUE ON 130TH STREET,Collision with fixed object:  Utility pole/light support,Outside trafficway,Non-collision (single vehicle),Ran off road - left,None Indicated,Weather conditions,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,9500,1,2,Southbound (SB),POINT (-93.657854752153 42.166299912196)
20191090861,20190001124,01/13/2019,01-January,1-Sunday,03:01,0300 Hours,District 1 (Central),DES MOINES,POLK,77,E CRESTON AVE MEASURING 1185 FEET EAST FROM E CRESTON AVE AND S UNION ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,None apparent,Dark - roadway lighted,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,0,1,1500,2,2,Southbound (SB),POINT (-93.611757111358 41.561152246785)
20191091817,2019-3864,01/14/2019,01-January,2-Monday,16:17,1600 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,BRIDGE AVE MEASURING 53 FEET NORTH FROM BRIDGE AVE AND E LOCUST ST,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",FTYROW:  Making left turn,None Indicated,None apparent,Daylight,Wet,Cloudy,None apparent,"Non-intersection:  Driveway access (related, not in)",Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,2,4,Northbound (NB),POINT (-90.558144291378 41.53844882274)
20191094352,2019001309,01/14/2019,01-January,2-Monday,21:42,2100 Hours,District 1 (Central),,POLK,77,"F052/NE 46TH AVE AND INTERSTATE 235/I 235, WB/SB",Collision with:  Vehicle in traffic,Shoulder,Rear to rear,"Operating vehicle in an reckless, erratic, careless, negligent manner",Drug,None apparent,Dark - roadway lighted,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,6200,2,1,Southbound (SB),POINT (-93.575700840606 41.64412395106)
20191091508,891900521,01/15/2019,01-January,3-Tuesday,06:44,0600 Hours,District 5 (Southeast),,VAN BUREN,IA-1,STATE 1/IOWA 1,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,N/A,N/A,N/A,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2500,1,1,Northbound (NB),POINT (-91.949073816806 40.714899205256)
20191091707,201900220,01/15/2019,01-January,3-Tuesday,10:05,1000 Hours,District 6 (East Central),,LINN,US 30,US 30,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),Ran off road - right,None Indicated,None apparent,Daylight,Wet,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,31000,3,3,Westbound (WB),POINT (-91.457219192698 41.917515744765)
20191091795,19-1770,01/16/2019,01-January,4-Wednesday,10:54,1000 Hours,District 6 (East Central),RIVERDALE,SCOTT,77,SCOTT COMM COL AREA IX AND BELMONT RD,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,7000,2,2,Northbound (NB),POINT (-90.464932420518 41.551642205644)
20191094215,,01/16/2019,01-January,4-Wednesday,07:35,0700 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,77,1ST AVE W,Non-collision events:  Other non-collision (explain in narrative),Other (explain in narrative),Rear to rear,Unknown,None Indicated,N/A,Daylight,Dry,Cloudy,N/A,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,0,2,2,Southbound (SB),POINT (-91.725460449348 41.967478814026)
20191094217,,01/17/2019,01-January,5-Thursday,07:30,0700 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,77,BOYSON RD NE,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Unknown,None Indicated,N/A,Daylight,Dry,Clear,N/A,Non-intersection:  Crossover-related,Paved,N/A,Minor Injury,0,1,0,1,0,0,10300,2,2,Southbound (SB),POINT (-91.638920264594 42.046723211182)
20191094824,2019001793,01/18/2019,01-January,6-Friday,19:15,1900 Hours,District 1 (Central),,JASPER,I-80,INTERSTATE 80 WB 151MM,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Ran off road - left,None Indicated,Weather conditions,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,1,0,1,0,0,21000,3,4,Southbound (SB),POINT (-93.326470836927 41.681409947741)
20191092346,19-000095,01/18/2019,01-January,6-Friday,20:30,2000 Hours,District 1 (Central),,STORY,77,190TH ST. APPROX 1/3 MILE WEST OF 677TH AVE,Collision with fixed object:  Embankment,On Roadway,Non-collision (single vehicle),Ran off road - left,None Indicated,Weather conditions,Dark - roadway not lighted,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,15000,1,1,Southbound (SB),POINT (-93.354305083005 42.077700451682)
20191106997,2019001815,01/19/2019,01-January,7-Saturday,06:00,0600 Hours,District 1 (Central),,JASPER,77,154 MM 80 WB,Collision with fixed object:  Cable barrier,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,Weather conditions,Dark - roadway not lighted,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,8000,1,1,Southbound (SB),POINT (-93.278697786924 41.686615755421)
20191092358,19-000570,01/19/2019,01-January,7-Saturday,05:37,0500 Hours,District 2 (Northeast),FOREST CITY,WINNEBAGO,77,WESTGATE DR,Collision with fixed object:  Other post/pole/support (explain in narrative),Roadside,Non-collision (single vehicle),Made improper turn,None Indicated,None apparent,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,2001,1,1,Northbound (NB),POINT (-93.651378805354 43.258235374025)
20191095770,,01/20/2019,01-January,1-Sunday,18:00,1800 Hours,District 4 (Southwest),,HARRISON,77,335TH ST and F066 / 335TH ST and S 6TH ST and L020 / LOESS HILLS TRL,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Unknown,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,5000,2,3,Southbound (SB),POINT (-95.88803827465 41.549896353608)
20191092543,19-003130,01/21/2019,01-January,2-Monday,17:25,1700 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,I-29,47MM OF I-29/SB,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dusk,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,2,0,0,2,0,2000,2,5,Eastbound (EB),POINT (-95.834767816281 41.222693819036)
20191092692,19009,01/21/2019,01-January,2-Monday,07:46,0700 Hours,District 5 (Southeast),PELLA,MARION,77,STATE 163/SE RAMP CURV AND S CLARK ST AND STATE 163/SW RAMP CURV,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,None apparent,Intersection:  Other intersection (explain in narrative),Paved,N/A,Major Injury,0,1,1,0,0,0,30000,2,3,Northbound (NB),POINT (-92.91391839375 41.387767851189)
20191092971,19-2282,01/22/2019,01-January,3-Tuesday,12:26,1200 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,ALLAN ST,Collision with:  Parked motor vehicle,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,Weather conditions,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,11419,2,1,Northbound (NB),POINT (-96.431191669165 42.500152374974)
20191092888,19-000127,01/22/2019,01-January,3-Tuesday,19:46,1900 Hours,District 1 (Central),ALTOONA,POLK,77,1430 1ST AVE N,Collision with fixed object:  Curb/island/raised median,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,Weather conditions,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,1500,1,1,Eastbound (EB),POINT (-93.464574490568 41.663568896047)
20191092690,19-2258,01/22/2019,01-January,3-Tuesday,08:34,0800 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,3300 LINE DR,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Unpaved,N/A,Property Damage Only,0,0,0,0,0,0,3500,2,2,N/A,POINT (-96.364942686642 42.443166204997)
20191094697,19000741,01/23/2019,01-January,4-Wednesday,17:07,1700 Hours,District 6 (East Central),,BUCHANAN,77,145TH ST AND DILLON AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Driving too fast for conditions,None Indicated,None apparent,Daylight,Snow,Clear,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Unpaved,N/A,Minor Injury,0,1,0,1,0,0,15000,2,2,Southbound (SB),POINT (-92.0132004603 42.576450997895)
20191093543,2019002388,01/23/2019,01-January,4-Wednesday,15:11,1500 Hours,District 6 (East Central),,IOWA,US 151,1100BLK HWY 151SB,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,12500,4,6,Northbound (NB),POINT (-91.869805324495 41.833035639756)
20191093452,2019000794,01/24/2019,01-January,5-Thursday,13:06,1300 Hours,District 6 (East Central),IOWA CITY,JOHNSON,77,S  DUBUQUE ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Other (explain in narrative):  No improper action,None Indicated,Weather conditions,Daylight,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4000,2,2,Northbound (NB),POINT (-91.533100189277 41.660676651548)
20191103716,,01/24/2019,01-January,5-Thursday,07:06,0700 Hours,District 2 (Northeast),,ALLAMAKEE,77,X052 / HWY 364,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,N/A,Dawn,Dry,Snow,N/A,Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,9250,1,1,Northbound (NB),POINT (-91.205735582771 43.1301824133)
20191094065,201901302,01/25/2019,01-January,6-Friday,07:49,0700 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,I-380,I380 NB JUST NORTH OF 8TH ST. ENTRANCE RAMP,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,None apparent,Daylight,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,13000,2,2,Eastbound (EB),POINT (-91.66175549571 41.9869192205)
20191095242,MC1900327,01/25/2019,01-January,6-Friday,07:51,0700 Hours,District 2 (Northeast),MASON CITY,CERRO GORDO,77,19TH ST SW,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,None apparent,Daylight,Wet,Cloudy,None apparent,Intersection:  T-intersection,Paved,N/A,Property Damage Only,0,0,0,0,0,0,7000,3,5,Southbound (SB),POINT (-93.234989872296 43.133889786624)
20191094744,SO19-00086,01/26/2019,01-January,7-Saturday,20:12,2000 Hours,District 1 (Central),,MARSHALL,US 30,US 30/240TH ST AND STATE 330/MARSHALLTOWN BLVD MM 20,Collision with fixed object:  Bridge/bridge rail parapet,On Roadway,Non-collision (single vehicle),Lost Control,None Indicated,None apparent,Dark - roadway lighted,Wet,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Possible/Unknown,0,1,0,0,1,0,4000,1,3,Westbound (WB),POINT (-93.020288146393 42.008210256783)
20191093965,19-000465,01/26/2019,01-January,7-Saturday,11:53,1100 Hours,District 1 (Central),AMES,STORY,77,OAKWOOD RD MEASURING 82 FEET EAST FROM OAKWOOD RD,Collision with fixed object:  Fire hydrant,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,None apparent,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,N/A,Property Damage Only,0,0,0,0,0,0,4500,1,2,Southbound (SB),POINT (-93.65846025618 41.99676750965)
20191094008,19000451,01/26/2019,01-January,7-Saturday,02:10,0200 Hours,District 1 (Central),AMES,STORY,77,S DAKOTA AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),"Operating vehicle in an reckless, erratic, careless, negligent manner",Alcohol (Statutory),None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,N/A,Minor Injury,0,3,0,3,0,0,13000,2,6,Northbound (NB),POINT (-93.678724975179 42.022183150431)
